What is your gender?,,What is your age?,What's your highest educational qualification?,What's your occupation?,,How long have you been engaged in software development?,How often do you participate in or contribute to open source software communities?,Do you agree that the following factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,,,,,,I feel enthusiastically when tackling difficult problems.,"When facing a difficult problem, I try my best to solve it.",I feel very competent when I am solving others' problems.,"When participating in Stack Overflow, I get many chances to show my capability.",I feel like I can pretty much be myself when participating the community.,I feel like I can make a lot of inputs to deciding how I contribute to the community.,People in the community are pretty friendly towards me.,I really like the people in the community.,Do you agree that the following incentive mechanisms have a long-term incentive effect on user participation?,,,"Do you agree that the reputation and ranking mechanisms have a negative impact on the community atmosphere? e.g., people are competitive in earning reputation points.","Do you agree that the privilege mechanism can discourage and decrease user participation? e.g., the users without certain privileges cannot perform certain activities.","Do you agree that the incentive mechanisms have a negative impact on contribution quality? e.g., people try to post the first answer to a question as soon as possible, without paying enough attention to quality.","Do you agree that the incentive mechanisms have a negative impact on solving difficult questions? e.g., people try to answer easy questions to earn reputation and badges, and they do not want to devote their time to tackling difficult questions."
Male,,25-34,Bachelor degree,Self-employed,,6~10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree
Male,,35-44,Master degree,Company employee,,>10 years,Rarely,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,,Sometimes,Usually,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Male,,25-34,Bachelor degree,Company employee,,>10 years,Sometimes,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Sometimes,Usually,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,1~5 years,Usually,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Usually,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree
Male,,45-54,Doctorate or above,Full-time open source developer,,>10 years,Always,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,"Mostly, when I can't find an answer and then figure it out myself, I add my answer in order to keep SO ""up to date"" with the best answer. This because I'm a perfectionist.",Always,Always,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Master degree,Company employee,,>10 years,Sometimes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree
Male,,45-54,Bachelor degree,Company employee,,>10 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree
Male,,25-34,Doctorate or above,Company employee,,6~10 years,Rarely,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,,Always,Always,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,Always,Always,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Rarely,Agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree
Male,,25-34,Doctorate or above,Full-time open source developer,,6~10 years,Sometimes,Strongly agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,Sometimes,Usually,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Male,,45-54,Doctorate or above,Other (please specify),academic (research and teaching),>10 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,,Usually,Usually,Strongly agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Self-employed,,>10 years,Sometimes,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,,Always,Always,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Sometimes,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,,Usually,Usually,Agree,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Rarely,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,,Always,Always,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Student,,1~5 years,Sometimes,Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Usually,Always,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
Male,,25-34,Master degree,Company employee,,>10 years,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,Usually,Usually,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree
Male,,35-44,Doctorate or above,Self-employed,,6~10 years,Usually,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Usually,Usually,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,45-54,Bachelor degree,Company employee,,>10 years,Never,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,,Usually,Usually,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Master degree,Company employee,,6~10 years,Always,Agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,,Usually,Always,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Rarely,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,,Usually,Usually,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree
Male,,18-24,Bachelor degree,Student,,1~5 years,Sometimes,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,,Usually,Always,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Never,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Usually,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,,35-44,Doctorate or above,Company employee,,>10 years,Usually,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Usually,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Usually,Always,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,,Sometimes,Always,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree
Male,,35-44,Bachelor degree,Other (please specify),University employee,>10 years,Usually,Agree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,Always,Always,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Male,,25-34,Bachelor degree,Self-employed,,1~5 years,Sometimes,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
Male,,35-44,High school or below,Self-employed,,>10 years,Rarely,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree
Male,,55-64,Bachelor degree,Company employee,,>10 years,Rarely,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,,Sometimes,Usually,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree
Male,,25-34,Master degree,Company employee,,>10 years,Rarely,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Rarely,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Always,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Self-employed,,>10 years,Sometimes,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,45-54,Master degree,Other (please specify),"Half-time employee, half-time freelancer",>10 years,Usually,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,I believe all software should be free,Usually,Usually,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree
Male,,25-34,Bachelor degree,Unemployed,,1~5 years,Sometimes,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,,Sometimes,Usually,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree
Male,,25-34,Bachelor degree,Self-employed,,6~10 years,Usually,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,,Usually,Always,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree
Male,,25-34,Master degree,Other (please specify),Manager - Marketing & Communications,1~5 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,,Always,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Full-time open source developer,,1~5 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Always,Always,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Agree
Male,,35-44,Bachelor degree,Company employee,,6~10 years,Usually,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree
Male,,25-34,Junior college,Self-employed,,>10 years,Sometimes,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,,Usually,Always,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree
Male,,35-44,Polytechnic,Company employee,,>10 years,Usually,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Usually,Always,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Always,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree
Male,,18-24,High school or below,Full-time open source developer,,6~10 years,Usually,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,,Always,Always,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
Male,,35-44,Bachelor degree,Company employee,,>10 years,Sometimes,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Usually,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree
Male,,25-34,Master degree,Self-employed,,>10 years,Sometimes,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,I like sharing my knowledge.,Usually,Usually,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,,25-34,Junior college,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,,Always,Usually,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Student,,1~5 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,,Usually,Always,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree
Male,,18-24,Bachelor degree,Student,,6~10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,,Usually,Always,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree
Male,,25-34,Master degree,Self-employed,,>10 years,Sometimes,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,,Usually,Always,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Male,,35-44,Master degree,Company employee,,>10 years,Usually,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,65+,Doctorate or above,Company employee,,>10 years,Usually,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,,Always,Always,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree
Male,,35-44,Master degree,Company employee,,>10 years,Rarely,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,,Sometimes,Usually,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree
Male,,18-24,Bachelor degree,Student,,>10 years,Sometimes,Agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,,Usually,Always,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Researcher,,1~5 years,Usually,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree
Male,,25-34,High school or below,Company employee,,>10 years,Usually,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,,Usually,Always,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
Male,,35-44,Master degree,Student,,1~5 years,Always,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,,Always,Always,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,,25-34,Master degree,Company employee,,6~10 years,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,,Sometimes,Always,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,,25-34,Bachelor degree,Company employee,,6~10 years,Sometimes,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,,Always,Always,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree
Male,,45-54,Bachelor degree,Company employee,,>10 years,Never,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Sometimes,Usually,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Male,,25-34,Bachelor degree,Full-time open source developer,,6~10 years,Sometimes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Always,Always,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree
Male,,35-44,Polytechnic,Self-employed,,>10 years,Rarely,Disagree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,,Usually,Always,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree
